ID;school;sex;age;address;famsize;Pstatus;Medu;Fedu;Mjob;Fjob;reason;guardian;traveltime;studytime;failures;schoolsup;famsup;paid;activities;nursery;higher;internet;romantic;famrel;freetime;goout;Dalc;Walc;health;absences;G1;G2;G3;subject
31;GP;F;16;U;LE3;T;2;4;other;health;course;father;2;2;0;no;yes;no;yes;yes;yes;yes;yes;4;2;2;1;2;5;2;14;12;13;port
32;GP;F;16;R;GT3;T;4;4;health;teacher;other;mother;1;2;0;no;yes;no;yes;yes;yes;no;no;2;4;4;2;3;4;6;10;11;11;math
33;MS;M;19;U;GT3;T;3;2;at_home;services;course;mother;2;1;3;no;no;no;yes;yes;yes;no;no;3;2;1;1;1;3;4;6;11;9;port
34;GP;M;16;U;GT3;T;3;2;services;services;course;mother;2;1;1;no;yes;no;yes;no;no;no;no;4;5;2;1;1;2;16;12;11;12;math
35;GP;M;16;U;LE3;T;2;2;other;other;home;mother;1;2;0;no;no;no;no;yes;yes;yes;no;4;4;4;1;1;3;0;13;12;13;port
36;GP;M;15;U;GT3;T;4;2;other;other;course;mother;1;4;0;no;no;no;no;yes;yes;yes;no;3;3;3;1;1;3;0;11;9;10;port
37;GP;M;16;U;GT3;T;1;0;other;other;reputation;mother;2;2;0;no;yes;yes;yes;yes;yes;yes;yes;4;3;2;1;1;3;2;13;15;16;math
38;GP;M;16;U;GT3;T;2;2;other;other;course;father;1;2;0;no;no;no;no;yes;no;yes;no;4;3;5;2;4;4;4;10;10;10;math
39;GP;F;17;R;GT3;T;3;4;at_home;services;course;father;1;3;0;no;yes;yes;yes;no;yes;yes;no;4;3;4;2;5;5;0;11;11;10;math
40;GP;F;15;U;GT3;T;2;3;other;other;other;father;2;1;0;no;yes;no;yes;yes;yes;no;no;3;5;1;1;1;5;0;8;7;6;math
41;GP;M;16;U;GT3;T;4;3;teacher;other;home;mother;1;2;0;no;yes;yes;yes;yes;yes;yes;no;3;4;3;2;3;3;4;11;10;11;port
42;GP;F;18;U;LE3;T;4;3;other;other;home;other;2;2;0;no;yes;no;no;yes;yes;yes;yes;4;4;5;1;2;2;0;13;14;14;port
43;GP;M;17;U;LE3;T;2;2;other;other;home;father;1;2;0;no;no;no;yes;no;yes;yes;yes;4;4;2;5;5;4;0;16;16;16;port
44;GP;M;18;U;GT3;T;2;1;other;other;home;mother;1;2;0;no;no;no;yes;yes;yes;yes;no;5;2;4;1;2;4;2;16;16;16;port
45;GP;F;15;U;GT3;T;4;3;services;other;reputation;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;4;5;5;1;3;1;6;14;13;13;port
46;GP;M;15;R;GT3;T;3;4;at_home;teacher;course;mother;4;2;0;no;yes;no;no;yes;yes;no;yes;5;3;3;1;1;5;0;9;0;0;math
47;MS;M;17;R;GT3;T;2;2;other;other;course;mother;3;1;1;no;yes;no;no;no;yes;yes;no;4;4;5;1;2;5;0;10;9;9;port
48;GP;F;16;U;LE3;A;3;3;other;services;home;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;2;3;5;1;4;3;6;13;12;13;port
49;GP;F;18;U;GT3;T;4;4;health;health;reputation;father;1;2;1;yes;yes;no;yes;yes;yes;yes;yes;2;4;4;1;1;4;15;9;8;8;math
50;GP;M;16;U;LE3;T;4;3;health;other;home;father;1;1;0;no;no;no;yes;yes;yes;yes;no;3;1;3;1;3;5;6;12;12;12;port
51;GP;F;18;U;LE3;T;3;3;services;services;home;mother;1;4;0;no;yes;no;no;yes;yes;yes;no;5;3;3;1;1;1;7;16;15;17;math
52;GP;M;17;R;LE3;T;1;1;other;services;course;mother;4;2;3;no;no;no;yes;yes;no;no;yes;5;3;5;1;5;5;0;5;8;7;math
53;MS;F;17;R;GT3;T;3;1;other;other;course;mother;2;2;3;no;yes;no;yes;no;yes;yes;yes;5;4;4;1;1;5;2;7;9;10;port
54;GP;F;18;R;GT3;T;3;1;other;other;reputation;mother;1;2;1;no;no;no;yes;yes;yes;yes;yes;5;3;3;1;1;4;16;9;8;7;math
55;GP;F;17;R;GT3;T;2;4;at_home;other;course;father;1;3;0;no;yes;no;no;yes;yes;yes;yes;4;4;3;1;1;5;0;15;15;15;port
56;GP;F;16;U;GT3;T;4;2;teacher;services;home;mother;2;2;0;no;yes;yes;yes;yes;yes;yes;no;5;3;3;1;1;1;0;11;10;10;math
57;GP;F;17;R;LE3;A;1;4;other;other;course;other;4;1;1;no;yes;no;no;yes;yes;yes;no;5;5;4;1;1;5;14;9;9;8;port
58;GP;M;17;U;LE3;A;4;4;health;other;reputation;mother;1;3;0;no;yes;no;no;yes;yes;yes;no;4;4;2;1;2;4;2;12;15;15;port
59;GP;F;17;U;GT3;T;4;4;other;teacher;course;mother;1;1;0;yes;yes;no;no;yes;yes;no;yes;4;2;1;1;1;4;0;11;11;12;math
60;GP;F;17;U;GT3;T;4;3;health;other;reputation;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;4;4;3;1;3;4;0;13;15;15;math
61;MS;M;18;R;LE3;T;1;2;at_home;services;other;father;3;1;0;no;yes;no;yes;yes;no;yes;yes;4;3;3;2;3;3;3;9;10;10;port
62;GP;F;17;R;GT3;T;4;3;teacher;other;reputation;mother;2;3;0;no;yes;no;yes;yes;yes;yes;yes;4;4;2;1;1;4;0;11;12;12;port
63;GP;F;16;U;GT3;T;1;3;at_home;services;home;mother;1;2;3;no;no;no;yes;no;yes;yes;yes;4;3;5;1;1;3;0;8;7;0;math
64;MS;F;16;U;GT3;T;1;1;at_home;other;course;father;1;2;0;no;yes;no;no;no;yes;no;yes;5;4;3;2;1;2;0;13;14;15;port
65;MS;F;17;U;GT3;T;4;3;teacher;other;other;mother;2;2;0;no;no;no;no;yes;yes;yes;no;5;5;4;1;1;1;0;6;9;11;port
66;GP;F;15;U;GT3;T;4;2;other;other;reputation;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;3;1;4;13;14;14;math
67;MS;F;17;R;GT3;T;4;4;teacher;services;other;father;2;2;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;1;2;5;4;12;13;13;math
68;GP;M;17;U;GT3;T;3;1;services;other;other;mother;1;2;0;no;no;yes;yes;yes;yes;yes;yes;5;4;4;3;4;5;2;9;9;10;math
69;GP;M;16;U;LE3;T;4;3;health;other;home;father;1;1;0;no;no;yes;yes;yes;yes;yes;no;3;1;3;1;3;5;4;8;10;10;math
70;GP;F;16;U;GT3;A;3;3;other;other;course;other;2;1;2;no;yes;no;yes;no;yes;yes;yes;4;3;2;1;1;5;0;4;0;0;math
71;MS;F;17;U;GT3;A;1;1;at_home;at_home;other;mother;1;2;0;no;no;no;yes;yes;yes;yes;yes;4;5;5;1;2;3;2;11;10;11;port
72;MS;F;17;U;GT3;A;1;0;other;other;other;mother;2;2;0;no;no;no;no;yes;yes;yes;yes;4;4;5;1;1;4;1;11;9;10;port
73;MS;F;17;U;GT3;T;2;2;other;at_home;home;mother;1;3;0;no;no;no;yes;yes;yes;no;yes;3;4;3;1;1;3;8;10;11;12;port
74;MS;M;18;R;LE3;T;1;1;at_home;other;other;mother;2;2;1;no;no;no;yes;no;no;no;no;4;4;3;2;3;5;2;13;12;12;math
75;GP;F;16;U;GT3;T;4;4;other;other;reputation;mother;1;1;0;no;no;no;yes;no;yes;yes;no;5;3;4;1;2;1;6;11;14;14;math
76;GP;F;16;R;GT3;T;1;1;other;services;reputation;mother;2;1;0;no;yes;no;yes;yes;yes;no;yes;3;3;3;1;2;1;8;12;11;11;port
77;MS;F;16;R;GT3;T;2;2;at_home;other;course;mother;2;2;1;no;yes;no;yes;no;yes;no;no;4;4;4;2;3;5;2;12;11;12;port
78;GP;M;15;U;LE3;T;4;4;health;services;course;father;1;1;0;no;yes;no;yes;yes;yes;yes;no;4;3;3;1;3;5;0;12;13;12;port
79;GP;F;18;U;GT3;T;4;4;teacher;other;course;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;4;4;4;3;3;5;0;12;11;13;port
80;GP;F;17;U;LE3;T;3;3;other;other;reputation;mother;1;2;0;no;yes;no;yes;yes;yes;yes;yes;5;3;3;2;3;1;56;9;9;8;math
81;GP;M;15;R;GT3;T;2;1;health;services;reputation;mother;1;2;0;no;no;no;yes;yes;yes;yes;yes;5;4;2;1;1;5;8;9;9;9;math
82;GP;M;15;R;GT3;T;4;3;teacher;at_home;course;mother;1;2;0;no;yes;no;yes;yes;yes;yes;yes;4;5;2;1;1;5;0;13;14;15;port
83;GP;F;18;U;GT3;T;4;4;health;health;reputation;father;1;2;1;yes;yes;no;yes;yes;yes;yes;yes;2;4;4;1;1;4;2;14;12;13;port
84;GP;F;16;U;GT3;T;4;2;health;services;home;father;1;2;0;no;no;no;no;yes;yes;yes;yes;4;2;3;1;1;3;0;17;17;18;port
85;GP;F;17;U;GT3;T;2;2;at_home;at_home;course;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;no;4;3;3;1;1;4;4;9;10;10;math
86;GP;M;17;U;LE3;T;1;1;health;other;course;mother;2;1;1;no;yes;no;yes;yes;yes;yes;no;4;4;4;1;2;5;0;9;10;10;port
87;GP;M;16;U;GT3;T;4;4;teacher;teacher;course;father;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;4;1;2;5;2;15;15;16;math
88;GP;M;15;U;GT3;T;2;2;services;services;course;father;1;1;0;yes;yes;no;no;yes;yes;yes;no;5;4;1;1;1;1;0;9;10;10;port
89;GP;F;16;U;GT3;T;3;4;at_home;other;course;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;2;4;3;1;2;3;12;5;5;5;math
90;MS;F;16;U;GT3;T;2;1;other;services;course;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;1;1;0;14;13;14;port
91;GP;F;17;U;GT3;T;2;2;at_home;at_home;course;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;4;3;3;1;1;4;0;12;12;13;port
92;GP;F;17;U;LE3;T;4;3;health;other;reputation;father;1;2;0;no;no;no;yes;yes;yes;yes;yes;3;2;3;1;2;3;0;14;12;12;port
93;GP;F;17;U;GT3;T;4;4;teacher;services;course;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;no;5;4;4;1;3;4;7;10;9;9;math
94;GP;F;20;R;GT3;T;2;1;other;other;course;other;2;2;0;no;yes;yes;yes;yes;no;yes;yes;1;2;3;1;2;2;8;10;12;12;port
95;MS;M;17;U;GT3;T;1;2;other;other;course;father;1;1;1;no;yes;no;yes;yes;no;yes;yes;5;3;5;5;5;1;12;6;7;7;port
96;GP;F;18;U;GT3;T;4;3;other;other;reputation;father;1;4;0;no;yes;no;no;yes;yes;yes;no;4;3;3;1;1;3;0;16;17;17;port
97;GP;F;17;R;GT3;T;4;4;teacher;teacher;course;mother;1;1;0;no;no;no;yes;yes;yes;yes;no;4;4;4;1;1;5;2;15;16;17;port
98;MS;F;19;U;GT3;T;1;1;at_home;services;other;father;2;1;1;no;no;no;no;yes;no;no;no;5;5;5;2;3;2;0;5;0;0;port
99;GP;M;16;U;GT3;T;0;2;other;other;other;mother;1;1;0;no;no;yes;no;no;yes;yes;no;4;3;2;2;4;5;0;13;15;15;math
100;MS;M;17;U;GT3;T;2;3;other;services;home;father;2;2;0;no;no;no;yes;yes;yes;yes;no;4;4;3;1;1;3;2;11;11;10;math
101;GP;F;15;R;GT3;T;1;1;other;other;reputation;mother;1;2;0;yes;yes;no;no;no;yes;yes;yes;3;3;4;2;4;5;2;13;11;11;port
102;GP;F;17;U;LE3;T;4;2;teacher;services;reputation;mother;1;4;0;no;yes;yes;yes;yes;yes;yes;no;4;2;3;1;1;4;6;14;12;13;math
103;GP;M;18;U;GT3;T;2;2;services;other;home;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;4;4;4;2;4;5;10;12;11;11;port
104;GP;M;17;U;GT3;T;4;4;services;teacher;home;mother;1;1;0;no;no;no;no;yes;yes;yes;no;5;2;3;1;2;5;4;17;15;16;math
105;GP;F;17;U;GT3;T;4;4;teacher;services;course;mother;1;2;0;no;yes;yes;no;yes;yes;yes;yes;5;3;1;1;4;5;2;11;11;12;port
106;GP;M;15;U;GT3;T;4;4;health;services;home;mother;1;2;0;no;yes;yes;no;no;yes;yes;no;5;4;2;3;4;5;0;9;11;12;math
107;GP;M;19;U;GT3;T;3;3;other;other;home;other;1;2;1;no;yes;no;yes;yes;yes;yes;yes;4;4;4;1;1;3;20;15;14;13;math
108;GP;F;16;U;GT3;A;3;4;services;other;course;father;1;1;0;no;no;no;no;yes;yes;yes;no;3;2;1;1;4;5;12;15;13;14;port
109;GP;F;18;R;GT3;T;4;4;teacher;other;reputation;mother;2;2;0;no;no;no;yes;yes;yes;yes;no;4;3;4;2;2;4;8;10;11;12;port
110;GP;M;16;U;GT3;T;3;4;other;other;course;father;3;1;1;no;yes;no;yes;no;yes;yes;no;3;4;5;2;4;2;4;9;9;10;port
111;GP;F;16;U;GT3;A;2;2;other;other;reputation;mother;1;2;0;yes;yes;no;no;yes;yes;yes;no;3;3;4;1;1;4;0;13;13;13;port
112;MS;M;21;R;GT3;T;1;1;other;other;course;other;1;1;3;no;no;no;no;no;yes;no;no;5;5;3;3;3;3;3;10;8;7;math
113;GP;M;15;R;GT3;T;3;4;at_home;teacher;course;mother;4;2;0;no;yes;no;no;yes;yes;no;yes;5;3;3;1;1;5;2;12;11;11;port
114;GP;M;15;U;LE3;T;4;4;teacher;other;home;other;1;1;0;no;yes;no;no;no;yes;yes;yes;5;4;3;2;4;5;8;12;12;12;math
115;MS;F;17;U;LE3;T;4;4;at_home;at_home;course;mother;1;2;0;no;yes;no;yes;yes;yes;yes;yes;2;3;4;1;1;1;4;15;14;15;port
116;GP;F;17;U;GT3;T;4;3;health;other;reputation;mother;1;3;0;no;yes;no;yes;yes;yes;yes;yes;4;4;3;1;3;4;0;11;12;13;port
117;GP;F;16;R;GT3;T;4;4;health;teacher;other;mother;1;2;0;no;yes;no;yes;yes;yes;no;no;2;4;4;2;3;4;0;17;16;16;port
118;GP;F;16;U;LE3;T;2;2;at_home;other;course;mother;1;2;0;no;yes;no;no;yes;yes;no;no;4;3;4;1;2;2;6;13;11;11;port
119;GP;M;15;U;GT3;T;2;2;services;services;course;father;1;1;0;yes;yes;no;no;yes;yes;yes;no;5;4;1;1;1;1;0;8;8;11;math
120;MS;F;19;R;GT3;T;2;3;services;other;course;mother;1;3;1;no;no;no;yes;no;yes;yes;no;5;4;2;1;2;5;4;10;11;10;port
121;MS;F;18;R;LE3;T;4;4;other;other;reputation;mother;2;3;0;no;no;no;no;yes;yes;yes;no;5;4;4;1;1;1;0;19;18;19;math
122;GP;M;17;U;LE3;A;4;1;services;other;home;mother;2;1;0;no;no;yes;yes;yes;yes;yes;yes;4;5;4;2;4;5;30;8;8;8;math
123;GP;F;16;U;LE3;T;2;2;other;at_home;course;father;2;2;1;yes;no;no;yes;yes;yes;yes;no;4;3;3;2;2;5;14;10;10;9;math
124;GP;F;16;U;GT3;T;4;4;services;services;reputation;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;no;3;2;3;1;2;2;6;13;14;14;math
125;GP;M;16;R;GT3;T;4;3;services;other;reputation;mother;2;1;0;yes;yes;yes;yes;no;yes;yes;no;3;3;3;1;1;4;6;9;11;11;port
126;GP;F;15;U;GT3;T;1;1;at_home;other;course;mother;3;1;0;no;yes;no;yes;no;yes;yes;yes;4;3;3;1;2;4;6;11;12;13;port
127;GP;F;21;U;LE3;T;4;4;other;other;reputation;other;1;3;2;no;no;yes;yes;yes;yes;yes;no;3;3;2;1;1;5;0;9;12;12;port
128;GP;M;16;U;GT3;T;3;3;services;other;home;father;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;1;5;4;13;14;14;port
129;GP;M;16;U;GT3;T;1;0;other;other;reputation;mother;2;2;0;no;yes;no;yes;yes;yes;yes;yes;4;3;2;1;1;3;0;16;17;18;port
130;GP;F;17;R;GT3;T;3;4;at_home;services;course;father;1;3;0;no;yes;no;yes;no;yes;yes;no;4;3;4;2;5;5;2;15;15;17;port
131;MS;M;17;R;GT3;T;2;2;other;other;course;mother;2;1;0;no;no;no;yes;yes;no;no;yes;5;5;5;3;5;5;0;8;13;10;port
132;GP;F;16;U;GT3;T;2;2;services;services;home;mother;1;1;2;no;yes;yes;no;no;yes;yes;no;1;2;2;1;3;5;14;6;9;8;math
133;GP;F;18;U;LE3;T;4;2;teacher;other;course;mother;1;2;0;no;yes;no;yes;yes;yes;yes;no;4;2;2;1;1;3;0;14;17;17;port
134;GP;F;18;U;GT3;T;3;2;services;other;home;mother;1;2;0;no;yes;no;yes;no;yes;yes;yes;3;1;2;1;2;1;4;10;13;13;port
135;MS;F;18;U;LE3;T;3;1;teacher;services;course;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;4;3;4;1;1;1;4;15;15;16;port
136;GP;M;17;U;LE3;T;2;2;other;other;home;father;1;2;0;no;no;yes;yes;no;yes;yes;yes;4;4;2;5;5;4;4;14;13;13;math
137;GP;M;16;U;GT3;T;4;4;teacher;teacher;course;mother;1;1;0;no;yes;no;no;yes;no;yes;yes;3;3;2;2;1;5;16;9;9;8;port
138;MS;F;16;R;GT3;T;1;1;at_home;other;other;mother;2;1;0;no;no;no;yes;yes;yes;yes;yes;4;2;2;4;3;2;0;13;12;14;port
139;GP;M;16;U;GT3;T;3;1;other;other;reputation;father;2;4;0;no;yes;yes;no;yes;yes;yes;no;4;3;2;1;1;5;0;13;15;15;math
140;GP;F;15;R;GT3;T;3;4;services;teacher;course;father;2;3;2;no;yes;no;no;yes;yes;yes;yes;4;2;2;2;2;5;0;12;0;0;math
141;MS;M;17;U;GT3;T;3;3;health;other;course;mother;2;2;0;no;yes;yes;no;yes;yes;yes;no;4;5;4;2;3;3;2;13;13;13;math
142;GP;M;16;U;GT3;T;4;4;teacher;teacher;course;father;1;2;0;no;yes;no;yes;yes;yes;yes;no;5;4;4;1;2;5;6;16;14;14;port
143;GP;F;15;R;GT3;T;2;2;at_home;other;reputation;mother;1;1;0;yes;yes;yes;yes;yes;yes;no;no;4;3;1;1;1;2;8;14;13;13;math
144;GP;F;16;U;GT3;T;2;1;other;other;home;mother;1;1;0;no;no;no;no;yes;yes;yes;yes;4;5;2;1;1;5;4;9;10;10;port
145;MS;F;18;U;GT3;T;3;3;services;services;course;father;1;2;0;no;yes;no;no;yes;yes;no;yes;5;3;4;1;1;5;0;10;9;9;math
146;GP;M;18;U;LE3;T;3;3;services;health;home;father;1;2;0;no;yes;no;no;yes;yes;yes;no;3;2;4;2;4;4;10;10;10;10;port
147;GP;M;19;R;GT3;T;3;2;at_home;services;home;other;1;1;0;no;yes;no;no;no;yes;no;yes;5;3;4;2;2;5;0;11;10;10;port
148;GP;M;18;U;LE3;A;3;4;other;other;reputation;other;1;2;0;no;no;no;yes;yes;yes;yes;yes;4;3;5;1;4;2;9;13;14;15;port
149;MS;F;18;R;LE3;A;3;2;other;other;course;other;2;3;2;no;yes;no;no;no;no;no;yes;3;3;2;1;1;2;6;7;9;10;port
150;GP;M;18;U;LE3;T;4;4;teacher;teacher;home;mother;1;1;0;no;yes;yes;no;yes;yes;yes;yes;1;4;2;2;2;1;5;16;15;16;math
151;GP;F;18;U;GT3;T;2;2;at_home;services;home;mother;1;3;0;no;yes;yes;yes;yes;yes;yes;yes;4;3;3;1;1;3;0;9;10;0;math
152;GP;F;16;U;GT3;A;4;1;other;other;home;mother;1;2;0;no;no;no;yes;yes;yes;yes;yes;5;3;3;1;2;5;0;14;13;13;port
153;GP;F;17;U;GT3;T;4;2;other;other;reputation;mother;2;3;0;no;yes;yes;no;yes;yes;yes;no;4;3;3;1;1;3;0;15;12;14;math
154;MS;F;15;R;GT3;T;3;3;at_home;other;course;mother;2;1;0;no;yes;no;no;yes;yes;yes;no;5;4;4;2;3;5;4;10;10;11;port
155;MS;M;15;U;GT3;T;2;2;health;other;reputation;mother;3;1;0;no;no;no;no;yes;yes;no;no;4;3;3;1;2;4;1;13;12;13;port
156;GP;M;18;U;GT3;T;2;2;other;other;home;mother;2;2;0;no;yes;yes;no;yes;yes;yes;no;3;3;3;5;5;4;0;12;13;13;math
157;GP;F;15;U;GT3;T;4;2;other;other;reputation;mother;1;3;0;no;yes;no;yes;yes;yes;yes;no;5;3;3;1;3;1;4;15;15;15;port
158;GP;M;17;R;LE3;T;1;2;other;other;reputation;mother;1;1;0;no;no;no;no;yes;yes;no;no;2;2;2;3;3;5;8;16;12;13;math
159;GP;F;16;U;GT3;T;3;4;at_home;other;course;mother;1;2;0;no;yes;no;no;yes;yes;yes;no;2;4;3;1;2;3;14;12;11;11;port
160;MS;M;20;R;GT3;T;1;1;other;other;course;other;2;1;1;no;yes;no;no;yes;no;yes;yes;4;4;3;2;4;4;12;8;11;10;port
161;MS;M;16;R;LE3;T;1;1;at_home;other;course;mother;2;1;0;no;no;no;yes;yes;yes;yes;no;4;5;5;2;4;5;0;10;10;9;port
162;GP;F;19;U;LE3;A;2;3;at_home;other;home;other;2;1;1;no;no;no;no;yes;no;yes;no;2;2;3;3;4;5;16;10;11;11;port
163;MS;F;18;U;LE3;A;1;2;at_home;other;reputation;mother;2;2;0;no;no;no;no;yes;yes;yes;no;4;4;3;1;2;4;0;12;13;14;port
164;GP;F;17;U;LE3;A;3;3;services;other;home;mother;1;2;0;yes;yes;no;no;yes;yes;yes;no;5;3;3;1;1;5;0;12;12;13;port
165;GP;M;18;R;LE3;A;3;4;other;other;reputation;mother;2;2;0;no;yes;yes;yes;yes;yes;yes;no;4;2;5;3;4;1;13;17;17;17;math
166;MS;M;16;U;GT3;T;2;1;health;services;other;mother;2;2;0;no;no;no;no;no;yes;yes;yes;4;2;2;1;4;5;2;9;7;8;port
167;MS;M;16;R;LE3;A;4;4;at_home;other;home;mother;1;2;0;no;yes;no;no;yes;yes;no;no;5;3;2;1;3;2;5;10;11;11;port
168;GP;M;18;U;GT3;T;2;2;other;other;reputation;mother;1;1;0;no;no;no;no;no;yes;yes;no;5;4;2;1;2;5;6;15;14;15;port
169;MS;F;19;R;GT3;T;2;3;services;other;course;mother;1;3;1;no;no;no;yes;no;yes;yes;no;5;4;2;1;2;5;0;7;5;0;math
170;MS;F;18;U;GT3;T;2;2;services;at_home;reputation;father;2;2;0;no;no;no;yes;no;yes;yes;no;4;3;5;1;1;1;2;12;13;14;port
171;GP;M;15;U;GT3;T;2;2;services;services;home;father;1;4;0;no;yes;yes;yes;yes;yes;yes;no;5;5;4;1;2;5;6;16;14;15;math
172;GP;F;17;U;GT3;T;4;4;other;teacher;course;mother;1;1;0;yes;yes;no;no;yes;yes;no;yes;4;2;1;1;1;4;0;13;13;13;port
